idx,CommunicationRound,TimeCost
2,0,Error,13.664756429215169
2,1,Error,0.38555114659324646
2,2,Error,1.188583686726887
2,3,Error,0.3349080961420024
2,4,Error,1.314927143794689
2,5,Error,0.4727222821574389
2,6,0.5291869640350342
2,7,0.6395454406738281
2,8,0.7620847225189209
2,9,0.7435190677642822
2,10,0.3993360996246338
2,11,0.4936976432800293
2,12,Error,0.8842136298436241
2,13,Error,0.16113483481463697
2,14,0.6888740062713623
2,15,Error,0.9958781303603149
2,16,Error,1.242176245093535
2,17,Error,0.2696480935733206
2,18,Error,1.1007258632198396
2,19,Error,0.23222190423458725
2,20,Error,0.33948115256264494
2,21,Error,0.08912833436431035
2,22,0.6251616477966309
2,23,0.537705659866333
2,24,Error,0.28915631441539175
2,25,0.6122894287109375
2,26,Error,0.7118265304661407
2,27,0.6522119045257568
2,28,Error,1.5423711519128722
2,29,0.42734313011169434
2,30,0.3865985870361328
2,31,0.48978710174560547
2,32,Error,0.8952501860705769
2,33,Error,1.5234331959806204
2,34,Error,0.23939852140587617
2,35,Error,0.35022413019781484
2,36,Error,0.6525691923209213
2,37,Error,0.7923605966664208
2,38,Error,0.004453094803403953
2,39,Error,0.6453180513238145
2,40,Error,0.09515189773020746
2,41,Error,1.237351682375152
2,42,Error,0.6262374856010868
2,43,Error,1.0431968646686196
2,44,Error,0.04959539841231989
2,45,0.4826035499572754
2,46,Error,1.1717772579415815
2,47,Error,0.991784720408685
2,48,Error,0.6098240021916176
2,49,Error,0.04753340488038898
2,50,Error,1.3099912024829554
2,51,Error,1.42112596565814
2,52,Error,0.616727242771341
2,53,Error,0.6271415660624791
2,54,0.35441160202026367
2,55,0.4462907314300537
2,56,Error,0.4741063041314634
2,57,Error,0.3744383955822759
2,58,0.4825174808502197
2,59,Error,0.9966209467669795
2,60,0.4619178771972656
2,61,0.6278941631317139
2,62,Error,0.00803985147776993
2,63,0.47086644172668457
2,64,Error,0.5760137733365902
2,65,0.4978296756744385
2,66,0.5448019504547119
2,67,0.61427903175354
2,68,0.4850184917449951
2,69,Error,0.9250007132540821
2,70,0.6948628425598145
2,71,Error,0.6992225674410224
2,72,Error,0.7470095731146411
2,73,Error,0.17875625163896508
2,74,Error,0.8697616442437387
2,75,0.4264340400695801
2,76,0.582322359085083
2,77,Error,1.11398416355536
2,78,0.5916922092437744
2,79,0.5780670642852783
2,80,Error,1.3673429775902566
2,81,Error,1.618352294982333
2,82,Error,0.047478819229883056
2,83,Error,1.3372555818859406
2,84,0.5917637348175049
2,85,Error,1.8161907771224044
2,86,Error,0.44966709813563716
2,87,0.5749073028564453
2,88,Error,0.7222512023725786
2,89,Error,0.9125121726487803
2,90,0.4046804904937744
2,91,Error,0.4322709022870282
2,92,0.27097439765930176
2,93,Error,0.7971241675677528
2,94,0.2413027286529541
2,95,Error,1.0538250414361123
2,96,0.17252492904663086
2,97,0.22006702423095703
2,98,Error,0.36032113473726957
2,99,Error,0.634421395182902
2,100,Error,0.5645644093364242
2,101,Error,0.38795522364265556
2,102,Error,0.04028811891445681
2,103,Error,1.1251400368968238
2,104,Error,1.0783555291864215
2,105,0.43598246574401855
2,106,Error,0.9312809752783355
2,107,Error,0.29598583836172737
2,108,0.21645188331604004
2,109,Error,0.6818009745864302
2,110,Error,0.7939260666862816
2,111,Error,1.0242091372687434
2,112,Error,0.38545558419145787
2,113,Error,1.282537387000244
2,114,Error,0.7278420172117386
2,115,Error,0.0847362595936319
2,116,Error,0.778093076975309
2,117,0.40563249588012695
2,118,Error,0.5808240543213835
2,119,Error,0.25635721347877305
2,120,Error,0.18872690694129884
2,121,Error,1.2867997359365337
2,122,Error,0.7364658679446
2,123,Error,0.07478476872315185
2,124,Error,0.11879817156178848
2,125,Error,0.4472778100627267
2,126,Error,0.3297833653046241
2,127,Error,0.8981497368238911
2,128,0.36882615089416504
2,129,Error,0.06935079989499769
2,130,Error,0.5434713675473511
2,131,Error,0.8310973363640998
2,132,Error,0.21262428251412302
2,133,Error,0.41285971895720086
2,134,Error,0.9451479873874211
2,135,Error,0.1035487140964943
2,136,0.41379523277282715
2,137,0.26497650146484375
2,138,Error,0.07377448632802205
2,139,Error,0.6340008016311367
2,140,Error,0.7379026880662032
2,141,Error,0.25454354338393786
2,142,0.167830228805542
2,143,Error,0.46635067048507045
2,144,Error,0.5495003756320067
2,145,Error,0.3227342896454619
2,146,Error,0.7569583778848987
2,147,Error,0.3872694960792108
2,148,Error,0.8555160342785644
2,149,Error,0.9372876134367891
2,150,Error,0.9136783834368828
2,151,Error,0.7858943839663817
2,152,Error,0.02188594120788691
2,153,Error,0.5073632869894403
2,154,Error,0.3002501771684997
2,155,Error,0.7047812602702531
2,156,Error,0.6308918119878544
2,157,0.40392470359802246
2,158,0.3830983638763428
2,159,Error,0.185230079531499
2,160,Error,0.3552642248250143
2,161,Error,0.4461534863847165
2,162,Error,1.0140602905293503
2,163,0.2123403549194336
2,164,Error,0.04962122874513961
2,165,0.28232574462890625
2,166,Error,0.5288585395022996
2,167,Error,0.2382897264511949
2,168,Error,0.4685169895218745
2,169,Error,1.216145804653263
2,170,0.19263219833374023
2,171,Error,0.9749622909604542
2,172,Error,0.056676188368512126
2,173,Error,0.2848115352903368
2,174,Error,0.5627196342368634
2,175,Error,0.045710071143773484
2,176,Error,0.8882478171047604
2,177,0.3378465175628662
2,178,0.2102518081665039
2,179,Error,0.6544156199505365
2,180,Error,0.7266194554908862
2,181,Error,0.6537804859544973
2,182,Error,0.0916027699146812
2,183,Error,0.5911410845425716
2,184,Error,0.03897748937221985
2,185,Error,0.3752038322185483
2,186,Error,1.300615373958957
2,187,Error,0.41874799637219373
2,188,Error,0.15631196925988378
2,189,0.3168447017669678
2,190,Error,0.08638620328390022
2,191,Error,0.1975890864647467
2,192,Error,0.3188598531089259
2,193,0.2987658977508545
2,194,Error,0.15610402460556333
2,195,0.3629934787750244
2,196,0.2680964469909668
2,197,Error,0.24853291941395175
2,198,0.3437924385070801
2,199,Error,0.8119398978020302
2,200,Error,0.25112029659819646
2,201,Error,0.2500976866425618
2,202,0.219224214553833
2,203,Error,0.8728928638731069
2,204,Error,0.5605313800293008
2,205,0.3988304138183594
2,206,Error,0.6137713891661084
2,207,0.3404524326324463
2,208,0.31856679916381836
2,209,Error,1.1021090114085352
2,210,0.30560827255249023
2,211,0.40488338470458984
2,212,Error,1.3520047177900916
2,213,Error,0.051357505638201385
2,214,Error,0.30084823959677964
2,215,Error,0.24962854735291926
2,216,Error,0.3010608046633847
2,217,Error,0.5734801797347195
2,218,Error,0.44964425814385867
2,219,Error,0.1342762624038461
2,220,Error,0.46322797228003004
2,221,0.1962423324584961
2,222,Error,0.2327121792399581
2,223,0.42392587661743164
2,224,Error,1.1415014117260154
2,225,0.2389378547668457
2,226,Error,0.4882195900002341
2,227,Error,0.33363195985321187
2,228,Error,0.2775968209009196
2,229,0.2268226146697998
2,230,Error,0.26588355502082006
2,231,0.45715880393981934
2,232,Error,0.015746720185059217
2,233,Error,1.2755436247335386
2,234,Error,1.116749443205824
2,235,Error,0.8537242602929976
2,236,Error,0.5929228576397069
2,237,Error,0.4251709275981103
2,238,Error,1.288518750103525
2,239,Error,0.30421923141228613
2,240,Error,0.5009210362843975
2,241,Error,0.48745169979722414
2,242,Error,0.8010051804872862
2,243,Error,0.4401690931618598
2,244,Error,0.1638820574691847
2,245,Error,0.4107574863500014
2,246,Error,0.552008738479915
2,247,0.3372788429260254
2,248,Error,0.49796769954635683
2,249,Error,0.5692404633413487
2,250,Error,0.3164648784989688
2,251,0.5283713340759277
2,252,0.5417475700378418
2,253,0.23847508430480957
2,254,0.2566721439361572
2,255,Error,0.49442803279317227
2,256,Error,0.6782217279450281
2,257,Error,0.36606112970897403
2,258,Error,0.7203516964305817
2,259,Error,0.41294492257251103
2,260,0.3785667419433594
2,261,Error,0.3233203227404097
2,262,Error,0.15623441643164282
2,263,0.387998104095459
2,264,Error,0.48178469513318617
2,265,Error,0.36309088890254787
2,266,Error,0.451475945003418
2,267,Error,0.1293334258133906
2,268,Error,0.7209513034250434
2,269,Error,0.12237568836233527
2,270,0.3131413459777832
2,271,0.5650920867919922
2,272,Error,0.5520769217481523
2,273,Error,0.6574081967799023
2,274,0.34194517135620117
2,275,Error,0.9397902603382117
2,276,Error,1.0647463291544432
2,277,Error,0.45135912675457224
2,278,0.4337575435638428
2,279,Error,0.7729842844095369
2,280,Error,1.1135323668955013
2,281,Error,0.31969080614352746
2,282,Error,0.7213371175196592
2,283,Error,0.24693289613499622
2,284,0.3192605972290039
2,285,0.41287708282470703
2,286,Error,0.7216086800956891
2,287,Error,0.046614736381496075
2,288,Error,0.830500665419364
2,289,0.4434075355529785
2,290,0.2951314449310303
2,291,Error,0.608040690425994
2,292,Error,0.26305410628131753
2,293,Error,0.7171531508327501
2,294,Error,0.585844997145052
2,295,Error,0.5553413790333079
2,296,Error,0.4245435233244155
2,297,0.29216718673706055
2,298,Error,0.7758926512432998
2,299,Error,0.5583446091464844
2,300,Error,1.0994787739269463
2,301,Error,0.19799562714387112
2,302,Error,0.21969121969165237
2,303,Error,0.9501951819165707
2,304,Error,0.5341251312295326
2,305,Error,0.49655077279724213
2,306,Error,0.15796912302622695
2,307,0.22576904296875
2,308,0.24448776245117188
2,309,0.3636195659637451
2,310,Error,0.0910339155308368
2,311,Error,0.7834899680035502
2,312,Error,0.8804431921106571
2,313,0.38640522956848145
2,314,0.3640754222869873
2,315,Error,0.18831869228454262
2,316,Error,0.3845933544660876
2,317,Error,0.34706446789767825
2,318,Error,0.34445680382626076
2,319,0.5018630027770996
2,320,Error,0.10938853443896963
2,321,0.2986929416656494
2,322,Error,0.5813008952829065
2,323,Error,1.0499379019248034
2,324,Error,0.21758465406553001
2,325,0.4343864917755127
2,326,Error,0.26475151081606757
2,327,0.4790682792663574
2,328,0.40323495864868164
2,329,Error,0.05071301292535678
2,330,0.36064600944519043
2,331,Error,1.129514743215722
2,332,Error,0.3191329645941038
2,333,Error,0.6686213302961308
2,334,0.4294922351837158
2,335,Error,0.35096078121271157
2,336,Error,0.558981787066687
2,337,Error,0.757566762627691
2,338,Error,0.5151272288199761
2,339,Error,0.9730394395577118
