idx,CommunicationRound,TimeCost
3,0,6.862831354141235
3,1,1.135910987854004
3,2,Error,2.229975294245818
3,3,Error,2.2980193125995503
3,4,1.0410425662994385
3,5,Error,2.6118625207956234
3,6,Error,2.4674821181494404
3,7,Error,1.827601985221638
3,8,Error,2.172201421508636
3,9,Error,0.2401398803402389
3,10,0.9918930530548096
3,11,1.0354242324829102
3,12,1.0479836463928223
3,13,1.191288709640503
3,14,Error,1.8519108404559346
3,15,Error,2.5483021063410294
3,16,Error,1.4560954675119635
3,17,0.9679808616638184
3,18,Error,2.622531097142559
3,19,Error,0.07911375196162125
3,20,Error,1.8025967944093153
3,21,Error,1.9649944859522217
3,22,Error,1.5655091130020753
3,23,Error,0.29854880804319933
3,24,Error,2.706064642309244
3,25,Error,0.5123871269735113
3,26,Error,0.06494949899421283
3,27,1.130974292755127
3,28,Error,1.8592325310196367
3,29,Error,1.0880200325434852
3,30,1.0078940391540527
3,31,Error,1.2543932597534937
3,32,Error,2.822696566460418
3,33,Error,3.01647534729002
3,34,Error,0.1081910867955951
3,35,Error,0.665539381331266
3,36,Error,0.8820342156150072
3,37,1.101356029510498
3,38,0.9914472103118896
3,39,Error,1.8491274300146374
3,40,1.194350004196167
3,41,1.0739834308624268
3,42,Error,2.9732090852020865
3,43,1.0858123302459717
3,44,1.0266509056091309
3,45,Error,3.0810253125228693
3,46,Error,0.8379921260926919
3,47,Error,2.000720187757927
3,48,Error,1.2970859072954428
3,49,Error,2.5172073443758904
3,50,Error,1.2746755196994672
3,51,Error,0.41834908919740904
3,52,Error,2.262132599903479
3,53,0.9795804023742676
3,54,Error,3.130648528047401
3,55,Error,0.15534092903898597
3,56,Error,1.478351939485263
3,57,1.187337875366211
3,58,0.9383935928344727
3,59,Error,0.34780503294186665
3,60,Error,3.4553614519948765
3,61,1.1760833263397217
3,62,Error,2.805262344196103
3,63,Error,1.1546036668149602
3,64,Error,1.5069467926598048
3,65,Error,1.8204030777893945
3,66,1.024566411972046
3,67,0.9963150024414062
