idx,CommunicationRound,TimeCost
2,0,Error,13.695889197092411
2,1,Error,0.7005008982017653
2,2,Error,1.7547090222012176
2,3,Error,0.5077987960545203
2,4,Error,2.126682691825147
2,5,Error,0.7703797748247752
2,6,0.7922217845916748
2,7,0.9863154888153076
2,8,0.988131046295166
2,9,1.023543119430542
2,10,0.8325624465942383
2,11,0.8836414813995361
2,12,Error,0.9993079058081853
2,13,Error,0.30697795754571244
2,14,0.9979174137115479
2,15,Error,1.738361959722099
2,16,Error,1.9737315045125825
2,17,Error,0.5262377168045885
2,18,Error,1.2454811151510108
2,19,Error,0.3600851716694302
2,20,Error,0.6328883398389268
2,21,Error,0.1785564591942556
2,22,0.9553043842315674
2,23,0.8889622688293457
2,24,Error,0.44283224495148277
2,25,1.0037930011749268
2,26,Error,1.1771011002309606
2,27,1.0067861080169678
2,28,Error,2.5462201737361423
2,29,0.8817691802978516
2,30,0.8098289966583252
2,31,0.9361956119537354
2,32,Error,1.4019359264770674
2,33,Error,2.073405790730807
2,34,Error,0.4189943539004698
2,35,Error,0.6361208196182876
2,36,Error,1.2892088193277325
2,37,Error,1.1967514938358745
2,38,Error,0.007601296910401484
2,39,Error,0.9433365908475445
2,40,Error,0.19219204244235552
2,41,Error,2.2263551322701502
2,42,Error,1.132290447245695
2,43,Error,1.4745128627115525
2,44,Error,0.09055075973385046
2,45,0.9053871631622314
2,46,Error,1.9920137548310588
2,47,Error,1.7501755002404271
2,48,Error,0.7394868631692652
2,49,Error,0.09318659170982803
2,50,Error,1.9851209636651685
2,51,Error,2.154295339034814
2,52,Error,1.3527318420645418
2,53,Error,1.1137771936347403
2,54,0.7963864803314209
2,55,0.7887222766876221
2,56,Error,0.9539837256173597
2,57,Error,0.8390862005664166
2,58,0.8859086036682129
2,59,Error,1.6632115773785303
2,60,0.7995903491973877
2,61,0.8562235832214355
2,62,Error,0.013419862121156768
2,63,0.8278379440307617
2,64,Error,0.9135869503959982
2,65,0.8761720657348633
2,66,0.8057746887207031
2,67,0.9474678039550781
