idx,CommunicationRound,TimeCost
8,0,Error,26.346749416639497
8,1,Error,8.560385615253692
8,2,Error,2.1932312277017325
8,3,Error,2.7228819919405836
8,4,Error,2.670491417210131
8,5,Error,0.7691434611655473
8,6,Error,3.7379844314964363
8,7,Error,5.422673133913702
8,8,Error,6.119106298073834
8,9,Error,3.2889454327731222
8,10,Error,8.771130245801317
8,11,Error,5.387303133172246
8,12,Error,4.410614617612845
8,13,Error,1.089966480279746
8,14,Error,4.835687000855958
8,15,Error,6.0273321883415125
8,16,Error,7.764166217121987
8,17,Error,2.9699084998351366
8,18,Error,1.2217173675056665
8,19,Error,1.17331990240264
8,20,Error,6.145696122553371
8,21,Error,9.180900247112426
8,22,Error,5.742618916240181
8,23,Error,0.7421772989543068
8,24,Error,0.1377457106195465
8,25,Error,0.8737334320111394
8,26,Error,7.039376225901513
8,27,Error,9.262524432023351
8,28,Error,5.618569222029476
8,29,Error,6.066366176575094
8,30,2.909240245819092
8,31,Error,7.518357065355798
8,32,Error,5.706521259691211
8,33,Error,11.120320552979903
8,34,Error,7.149482811333903
8,35,Error,4.379354150324259
8,36,Error,10.704873928454056
8,37,3.7549664974212646
8,38,Error,3.1330917784237324
8,39,Error,5.338528807970533
8,40,Error,2.420780199488499
8,41,5.7585039138793945
8,42,Error,4.524584159089639
8,43,Error,4.370675258202979
8,44,Error,17.70102851262429
8,45,Error,12.771516960770194
8,46,Error,0.7005274982305969
8,47,Error,6.370414841536279
8,48,Error,3.9547692520350566
8,49,7.752050161361694
8,50,7.814091205596924
8,51,Error,10.730158916153798
8,52,Error,20.392107270827445
8,53,Error,16.39549787510555
8,54,Error,12.771560628969588
8,55,Error,4.585331392423131
