idx,CommunicationRound,TimeCost
3,0,23.73621439933777
3,1,11.984362840652466
3,2,12.124111652374268
3,3,12.119005680084229
3,4,12.343084335327148
3,5,12.275061130523682
3,6,12.14452338218689
3,7,12.27826476097107
3,8,12.217187404632568
3,9,Error,20.006472862173972
3,10,Error,24.675714459734582
3,11,11.994608402252197
3,12,12.288406372070312
3,13,12.454597473144531
3,14,12.41799521446228
3,15,12.35583209991455
3,16,Error,20.86364541685983
3,17,Error,3.4180502543720968
3,18,12.50638198852539
3,19,12.502386093139648
3,20,12.377226829528809
