idx,CommunicationRound,TimeCost
3,0,25.20846176147461
3,1,11.860274076461792
3,2,Error,23.685989205779325
3,3,Error,25.95570976834688
3,4,12.686324119567871
3,5,Error,32.35075061692803
3,6,Error,29.50274034637619
3,7,Error,21.806757859725362
3,8,Error,23.262009231628962
3,9,Error,2.8959893630120654
3,10,13.236606359481812
3,11,11.449725866317749
3,12,12.505107641220093
3,13,10.934164047241211
3,14,Error,23.746291021032686
3,15,Error,30.04602652150549
3,16,Error,16.056350082039444
3,17,13.685659170150757
3,18,Error,34.826786216725324
3,19,Error,1.0840749294889729
3,20,Error,19.62576632369496
3,21,Error,25.45145876622709
