idx,CommunicationRound,TimeCost
7,0,Error,17.399165060623563
7,1,Error,6.512241542745149
7,2,Error,3.607273178785878
7,3,Error,4.362682443109275
7,4,Error,11.840079337029117
7,5,Error,3.271296869259448
7,6,Error,3.5249937589264606
7,7,Error,13.36756877634824
7,8,Error,0.11484823222624863
7,9,Error,11.93174151856303
7,10,Error,7.194949171137656
7,11,Error,4.171127620444988
7,12,Error,16.18522085627893
7,13,Error,8.644205050671026
7,14,Error,9.162085229075792
7,15,Error,7.7301703760340255
7,16,Error,7.79167788244097
7,17,Error,11.05539663271461
7,18,Error,1.3203751932655514
7,19,Error,1.0559132434707887
7,20,Error,2.7930480081406857
7,21,Error,13.762555547169523
7,22,Error,7.296621189135349
7,23,Error,9.574465391568351
7,24,Error,12.481467992675606
7,25,Error,4.877716404056538
7,26,Error,2.593457626752249
7,27,Error,4.984569498283004
7,28,4.590014696121216
7,29,Error,7.819385309774612
7,30,Error,9.873057576097334
7,31,Error,9.002154844110184
7,32,Error,1.4129455514400688
7,33,Error,5.911921074072103
7,34,Error,8.08741588537435
7,35,Error,15.928253612605348
7,36,Error,13.692397886444166
7,37,Error,4.184104258379323
7,38,Error,12.443036249479503
7,39,Error,15.59897321842031
7,40,4.545052766799927
7,41,Error,11.281283501298358
7,42,Error,2.1715178616599773
7,43,Error,1.1456035326276726
7,44,Error,13.328890705712181
7,45,Error,5.780304414761571
