idx,CommunicationRound,TimeCost
3,0,9.681611776351929
3,1,3.495931386947632
3,2,Error,8.286036453902922
3,3,Error,7.816471928942657
3,4,3.84824538230896
3,5,Error,10.354727333054116
3,6,Error,8.821914314273577
3,7,Error,6.6204883777928565
3,8,Error,7.560161437249467
3,9,Error,0.9811868855535965
3,10,3.7534101009368896
3,11,4.409961462020874
3,12,4.122100114822388
3,13,3.839792490005493
3,14,Error,6.901711048113194
3,15,Error,10.089938291243381
3,16,Error,5.3632777745077505
3,17,3.828787088394165
3,18,Error,10.559585327472666
3,19,Error,0.3443881855602341
3,20,Error,7.013988485835175
3,21,Error,9.145874741872733
3,22,Error,6.183955693650316
3,23,Error,1.2086362508314303
3,24,Error,11.138538897600025
3,25,Error,1.8388484807255834
3,26,Error,0.24900581560385848
3,27,4.185917615890503
3,28,Error,7.107145494932642
3,29,Error,4.0368452567121595
3,30,4.130423069000244
3,31,Error,5.370431790783218
3,32,Error,14.479196406425206
