idx,CommunicationRound,TimeCost
9,0,6.893885374069214
9,1,0.27840399742126465
9,2,0.27080869674682617
9,3,0.283602237701416
9,4,Error,0.3453820491196263
9,5,Error,0.26488250173713196
9,6,Error,0.20437829043313954
9,7,0.27687954902648926
9,8,Error,0.5087349975791639
9,9,Error,0.06791066893501266
9,10,Error,0.07921950503320299
9,11,0.27062058448791504
9,12,0.2736833095550537
9,13,Error,0.0188000598996151
9,14,0.27454376220703125
9,15,Error,0.010849015871472875
9,16,Error,0.11509744671835175
9,17,Error,0.3726393322361186
9,18,0.27196359634399414
9,19,Error,0.1376574719681281
9,20,0.2844667434692383
9,21,0.28527069091796875
9,22,Error,0.0961770912964801
9,23,Error,0.36971222447174473
9,24,0.28123927116394043
9,25,0.27498888969421387
9,26,0.2709066867828369
9,27,0.27895116806030273
9,28,Error,0.6442307248699315
9,29,0.273256778717041
9,30,Error,0.27555750107186966
9,31,0.27782201766967773
9,32,Error,0.07086692030748858
9,33,Error,0.037164216830211275
9,34,Error,0.3988313867387796
9,35,Error,0.5272017803289732
9,36,Error,0.25539217620867666
9,37,Error,0.32500329831355346
9,38,Error,0.18792170379847992
9,39,Error,0.7216018058491342
9,40,Error,0.0027680726451005137
9,41,0.2709386348724365
