idx,CommunicationRound,TimeCost
3,0,9.060932159423828
3,1,2.7871315479278564
3,2,Error,6.657457923558045
3,3,Error,7.307976741658366
3,4,3.7133991718292236
3,5,Error,10.124293831985797
3,6,Error,8.803592066601167
3,7,Error,6.292992113958458
3,8,Error,7.129546876042899
3,9,Error,0.9541617181192537
3,10,3.8346409797668457
3,11,3.781047821044922
3,12,Error,9.766325856467397
3,13,Error,6.686729685792064
3,14,Error,1.095815696571865
3,15,Error,2.17667797682365
3,16,Error,9.078508781992726
3,17,Error,8.74299059988861
3,18,Error,0.31551518023488034
3,19,Error,5.76810215913302
3,20,Error,7.774994527864464
3,21,Error,5.325943038678279
3,22,Error,1.0727564915354109
3,23,Error,9.653129081949695
3,24,Error,1.633063859270683
3,25,Error,0.2206821039152522
3,26,3.9546751976013184
3,27,Error,6.4590611863498335
3,28,Error,3.441162813562363
3,29,Error,5.548022998584669
3,30,Error,0.4062154581369676
3,31,3.8540515899658203
3,32,Error,10.33264419213082
3,33,Error,0.3990279245666673
3,34,Error,2.6368941394445145
3,35,Error,2.8678696279734437
3,36,3.8359923362731934
3,37,3.7664613723754883
