idx,CommunicationRound,TimeCost
0,0,Error,22.371964367845464
0,1,Error,3.060072898007504
0,2,Error,3.193705533715603
0,3,Error,1.4301583180033195
0,4,1.6372439861297607
0,5,Error,5.142873935943194
0,6,Error,3.3429051587518552
0,7,Error,2.6189394106200807
0,8,Error,1.328792472872173
0,9,Error,2.180664443837183
0,10,Error,3.5058083176903896
0,11,Error,2.0356551059683774
0,12,1.7817232608795166
0,13,1.7091729640960693
0,14,Error,1.0908121161907074
0,15,Error,3.9600515496718187
0,16,1.7697346210479736
0,17,1.6217868328094482
0,18,Error,1.0120431377242778
0,19,Error,4.345910703491259
0,20,Error,3.1619249103072358
0,21,Error,0.41001409067906014
0,22,1.7428910732269287
0,23,Error,1.3441164408544113
0,24,Error,4.531729105383823
0,25,Error,2.3998556567463027
0,26,Error,0.66661086040679
0,27,Error,2.096052252848966
0,28,Error,5.313274849239698
0,29,Error,4.238970729122655
0,30,Error,4.384811341364507
0,31,Error,5.282496657426603
0,32,Error,3.826581073779619
0,33,Error,0.35961419203521006
0,34,Error,1.1889723857535415
0,35,Error,2.318936362725325
0,36,Error,2.9739024768926057
0,37,Error,0.7762648995501306
0,38,1.7044878005981445
0,39,Error,3.0425251089077436
0,40,Error,4.893680879806204
0,41,Error,2.2752099799871526
0,42,Error,4.526242389856692
0,43,Error,1.3735525923167176
0,44,Error,1.4282415097383858
0,45,Error,0.3414106809360526
0,46,Error,4.166831581045342
0,47,Error,5.392375252715349
0,48,Error,1.3484640924315856
0,49,Error,0.9000021522280854
0,50,Error,0.7201315399838853
0,51,1.615203619003296
0,52,Error,3.462823064680474
0,53,Error,0.19036280358611607
0,54,1.6683287620544434
0,55,1.6344408988952637
0,56,Error,2.199710580998318
0,57,Error,5.812476710812091
0,58,Error,4.108538405286379
0,59,Error,3.930280747091148
0,60,1.7484958171844482
0,61,Error,5.109728455943892
0,62,Error,4.40243068531412
0,63,Error,3.306702837780524
0,64,Error,3.2925431567166528
0,65,Error,4.695236467927349
